"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","view_history","question_order","phase","trial_name","trial_num","key_selected","person_selected","first_product","reward1","second_product","reward2","left_person","right_person","prob_product1","prob_product2","prob_product3","prob_product4","prob_product5","counterbalance"
"pavlovia","0","1336","0.0-0.0","662f798279ec5f7604eaaaa0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","19315","0.0-1.0","662f798279ec5f7604eaaaa0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","25523","0.0-2.0","662f798279ec5f7604eaaaa0","","","","","","6204","<h2><b>Consent to participate in a research:</b></h2><p><strong>You will be paid only after participating in each of the 4 days (including today).</p>","1","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","29104","0.0-3.0","662f798279ec5f7604eaaaa0","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","240178","0.0-4.0-0.0","662f798279ec5f7604eaaaa0","","","","","","211072","","","[{""page_index"":0,""viewing_time"":2669},{""page_index"":1,""viewing_time"":2257},{""page_index"":2,""viewing_time"":10058},{""page_index"":3,""viewing_time"":15899},{""page_index"":4,""viewing_time"":15811},{""page_index"":5,""viewing_time"":16476},{""page_index"":6,""viewing_time"":5999},{""page_index"":7,""viewing_time"":9656},{""page_index"":8,""viewing_time"":4805},{""page_index"":9,""viewing_time"":5343},{""page_index"":10,""viewing_time"":6077},{""page_index"":11,""viewing_time"":16947},{""page_index"":12,""viewing_time"":4468},{""page_index"":13,""viewing_time"":9973},{""page_index"":14,""viewing_time"":25227},{""page_index"":15,""viewing_time"":4305},{""page_index"":16,""viewing_time"":11869},{""page_index"":17,""viewing_time"":2656},{""page_index"":18,""viewing_time"":5867},{""page_index"":19,""viewing_time"":15971},{""page_index"":20,""viewing_time"":12292},{""page_index"":21,""viewing_time"":4827},{""page_index"":22,""viewing_time"":1620}]","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","5","302518","0.0-4.0-1.0","662f798279ec5f7604eaaaa0","","","","","","62334","","{""number_persons"":""5"",""number_candidates"":""2"",""number_products"":""2"",""choose_candidate"":""Press the 'S' or 'K' key with your LEFT or RIGHT hand"",""transported_product"":""False, each delivery person can only deliver two products"",""product_person"":""False, the book has the same demand no matter who is delivering it"",""value_change"":""True, as in real markets the demand may slowly change"",""game_goal"":""The goal is to choose the best I can and earn as much bonus money as I can"",""independence"":""False, each product has its own demand in the market"",""location"":""The demand for the products is the same regardless of whether the chosen delivery person appears on the left or on the right""}","","[0,1,2,3,4,5,6,7,8,9]","","","","","","","","","","","","","","","","",""
"instructions","6","325278","0.0-5.0","662f798279ec5f7604eaaaa0","","","","","","22754","","","[{""page_index"":0,""viewing_time"":2173},{""page_index"":1,""viewing_time"":7562},{""page_index"":2,""viewing_time"":3241},{""page_index"":3,""viewing_time"":4464},{""page_index"":4,""viewing_time"":2499},{""page_index"":5,""viewing_time"":2814}]","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","327885","0.0-6.0","662f798279ec5f7604eaaaa0","","","","","","2603","<div>We will now do a few practice trials. <br> Please be ready with your fingers on <b>s</b> and <b>k</b><br><br> <img class=keyboard src='images/examples/keyboard.png'>  <br><br> <b> Press any key to begin</b></div>","s","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","330020","0.0-7.0-0.0","662f798279ec5f7604eaaaa0","","","","","","1125","<img class=left_person src='images/persons/person3.jpg'><img class=right_person src='images/persons/person4.jpg'><div class=""fixation"">+</div>","s","","","practice","choice","0","","","","","","","","","","","","","",""
"html-keyboard-response","9","330785","0.0-7.0-1.0","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person3.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","0","0","2","","","","","","","","","","","",""
"html-keyboard-response","10","331545","0.0-7.0-2.0","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person3.jpg'><img class=product src='images/products/necklace.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product1","0","","","3","","","","","","","","","","",""
"html-keyboard-response","11","332561","0.0-7.0-3.0","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person3.jpg'><img class=reward src='images/zero_coins.png'><img class=product src='images/products/necklace.jpg'>","null","","","practice","show_reward1","0","","","3","0","","","","","","","","","",""
"html-keyboard-response","12","333317","0.0-7.0-4.0","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person3.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","0","0","2","","","","","","","","","","","",""
"html-keyboard-response","13","334077","0.0-7.0-5.0","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person3.jpg'><img class=product src='images/products/cake.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product2","0","","","","","2","","","","","","","","",""
"html-keyboard-response","14","335086","0.0-7.0-6.0","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person3.jpg'><img class=reward src='images/zero_coins.png'><img class=product src='images/products/cake.jpg'>","null","","","practice","show_reward2","0","0","2","3","0","2","0","","","","","","","",""
"html-keyboard-response","15","336640","0.0-7.0-0.1","662f798279ec5f7604eaaaa0","","","","","","1397","<img class=left_person src='images/persons/person4.jpg'><img class=right_person src='images/persons/person3.jpg'><div class=""fixation"">+</div>","s","","","practice","choice","1","","","","","","","","","","","","","",""
"html-keyboard-response","16","337405","0.0-7.0-1.1","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person4.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","1","0","3","","","","","","","","","","","",""
"html-keyboard-response","17","338173","0.0-7.0-2.1","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person4.jpg'><img class=product src='images/products/printer.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product1","1","","","4","","","","","","","","","","",""
"html-keyboard-response","18","339186","0.0-7.0-3.1","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person4.jpg'><img class=reward src='images/zero_coins.png'><img class=product src='images/products/printer.jpg'>","null","","","practice","show_reward1","1","","","4","0","","","","","","","","","",""
"html-keyboard-response","19","339949","0.0-7.0-4.1","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person4.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","1","0","3","","","","","","","","","","","",""
"html-keyboard-response","20","340714","0.0-7.0-5.1","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person4.jpg'><img class=product src='images/products/necklace.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product2","1","","","","","3","","","","","","","","",""
"html-keyboard-response","21","341728","0.0-7.0-6.1","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person4.jpg'><img class=reward src='images/one_coin.png'><img class=product src='images/products/necklace.jpg'>","null","","","practice","show_reward2","1","0","3","4","0","3","1","","","","","","","",""
"html-keyboard-response","22","343399","0.0-7.0-0.2","662f798279ec5f7604eaaaa0","","","","","","1513","<img class=left_person src='images/persons/person4.jpg'><img class=right_person src='images/persons/person3.jpg'><div class=""fixation"">+</div>","k","","","practice","choice","2","","","","","","","","","","","","","",""
"html-keyboard-response","23","344158","0.0-7.0-1.2","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person3.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","2","1","2","","","","","","","","","","","",""
"html-keyboard-response","24","344920","0.0-7.0-2.2","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person3.jpg'><img class=product src='images/products/necklace.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product1","2","","","3","","","","","","","","","","",""
"html-keyboard-response","25","345927","0.0-7.0-3.2","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person3.jpg'><img class=reward src='images/one_coin.png'><img class=product src='images/products/necklace.jpg'>","null","","","practice","show_reward1","2","","","3","1","","","","","","","","","",""
"html-keyboard-response","26","346689","0.0-7.0-4.2","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person3.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","2","1","2","","","","","","","","","","","",""
"html-keyboard-response","27","347452","0.0-7.0-5.2","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person3.jpg'><img class=product src='images/products/cake.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product2","2","","","","","2","","","","","","","","",""
"html-keyboard-response","28","348463","0.0-7.0-6.2","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person3.jpg'><img class=reward src='images/one_coin.png'><img class=product src='images/products/cake.jpg'>","null","","","practice","show_reward2","2","1","2","3","1","2","1","","","","","","","",""
"html-keyboard-response","29","351110","0.0-7.0-0.3","662f798279ec5f7604eaaaa0","","","","","","2490","<img class=left_person src='images/persons/person2.jpg'><img class=right_person src='images/persons/person1.jpg'><div class=""fixation"">+</div>","s","","","practice","choice","3","","","","","","","","","","","","","",""
"html-keyboard-response","30","351864","0.0-7.0-1.3","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person2.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","3","0","1","","","","","","","","","","","",""
"html-keyboard-response","31","352629","0.0-7.0-2.3","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person2.jpg'><img class=product src='images/products/book.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product1","3","","","1","","","","","","","","","","",""
"html-keyboard-response","32","353645","0.0-7.0-3.3","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person2.jpg'><img class=reward src='images/zero_coins.png'><img class=product src='images/products/book.jpg'>","null","","","practice","show_reward1","3","","","1","0","","","","","","","","","",""
"html-keyboard-response","33","354408","0.0-7.0-4.3","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person2.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","3","0","1","","","","","","","","","","","",""
"html-keyboard-response","34","355175","0.0-7.0-5.3","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person2.jpg'><img class=product src='images/products/cake.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product2","3","","","","","2","","","","","","","","",""
"html-keyboard-response","35","356189","0.0-7.0-6.3","662f798279ec5f7604eaaaa0","","","","","","null","<img class=left_person src='images/persons/person2.jpg'><img class=reward src='images/one_coin.png'><img class=product src='images/products/cake.jpg'>","null","","","practice","show_reward2","3","0","1","1","0","2","1","","","","","","","",""
"html-keyboard-response","36","359611","0.0-7.0-0.4","662f798279ec5f7604eaaaa0","","","","","","3267","<img class=left_person src='images/persons/person1.jpg'><img class=right_person src='images/persons/person2.jpg'><div class=""fixation"">+</div>","k","","","practice","choice","4","","","","","","","","","","","","","",""
"html-keyboard-response","37","360364","0.0-7.0-1.4","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person2.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","4","1","1","","","","","","","","","","","",""
"html-keyboard-response","38","361129","0.0-7.0-2.4","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person2.jpg'><img class=product src='images/products/book.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product1","4","","","1","","","","","","","","","","",""
"html-keyboard-response","39","362143","0.0-7.0-3.4","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person2.jpg'><img class=reward src='images/zero_coins.png'><img class=product src='images/products/book.jpg'>","null","","","practice","show_reward1","4","","","1","0","","","","","","","","","",""
"html-keyboard-response","40","362905","0.0-7.0-4.4","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person2.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","4","1","1","","","","","","","","","","","",""
"html-keyboard-response","41","363671","0.0-7.0-5.4","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person2.jpg'><img class=product src='images/products/cake.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product2","4","","","","","2","","","","","","","","",""
"html-keyboard-response","42","364686","0.0-7.0-6.4","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person2.jpg'><img class=reward src='images/zero_coins.png'><img class=product src='images/products/cake.jpg'>","null","","","practice","show_reward2","4","1","1","1","0","2","0","","","","","","","",""
"html-keyboard-response","43","366347","0.0-7.0-0.5","662f798279ec5f7604eaaaa0","","","","","","1503","<img class=left_person src='images/persons/person5.jpg'><img class=right_person src='images/persons/person4.jpg'><div class=""fixation"">+</div>","k","","","practice","choice","5","","","","","","","","","","","","","",""
"html-keyboard-response","44","367109","0.0-7.0-1.5","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person4.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","5","1","3","","","","","","","","","","","",""
"html-keyboard-response","45","367870","0.0-7.0-2.5","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person4.jpg'><img class=product src='images/products/printer.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product1","5","","","4","","","","","","","","","","",""
"html-keyboard-response","46","368881","0.0-7.0-3.5","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person4.jpg'><img class=reward src='images/zero_coins.png'><img class=product src='images/products/printer.jpg'>","null","","","practice","show_reward1","5","","","4","0","","","","","","","","","",""
"html-keyboard-response","47","369644","0.0-7.0-4.5","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person4.jpg'><div class=""fixation"">+</div>","null","","","practice","show_choice","5","1","3","","","","","","","","","","","",""
"html-keyboard-response","48","370407","0.0-7.0-5.5","662f798279ec5f7604eaaaa0","","","","","","null","<img class=right_person src='images/persons/person4.jpg'><img class=product src='images/products/necklace.jpg'><div class=""fixation"">+</div>","null","","","practice","show_product2","5","","","","","3","","","","","","","","",""
