,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200
arm_1,0.676722881,0.703167498,0.757849538,0.729387358,0.748497505,0.784254836,0.796811469,0.806834761,0.754532632,0.738780358,0.780487939,0.717577703,0.727863343,0.752060782,0.743484213,0.743531436,0.741978039,0.769318221,0.786400271,0.789438749,0.806644059,0.792029773,0.762471716,0.763800955,0.767233121,0.778976153,0.699813317,0.740469484,0.735425868,0.724659915,0.728103779,0.767805151,0.730765173,0.742782242,0.727202494,0.770291207,0.720215063,0.755233938,0.744865831,0.743570684,0.741031858,0.736490533,0.813765048,0.834789005,0.815266403,0.795630386,0.805543291,0.802272051,0.801694819,0.837286843,0.821014414,0.829556607,0.830368813,0.837870759,0.842325503,0.829325974,0.764767065,0.696214313,0.703205032,0.695405133,0.692497153,0.683420429,0.695968219,0.70445215,0.659559898,0.65879813,0.73055712,0.696890424,0.698408076,0.70649364,0.711038417,0.722429919,0.712391746,0.763484998,0.755664448,0.793458234,0.783374926,0.772168298,0.818892136,0.801036552,0.773391125,0.811164363,0.85,0.85,0.85,0.849523089,0.848675403,0.85,0.85,0.85,0.842173181,0.780527718,0.814288221,0.797949977,0.842005665,0.85,0.837700286,0.836076261,0.85,0.849203248,0.85,0.85,0.811198068,0.81819073,0.807107651,0.754889191,0.780900119,0.783030427,0.723540935,0.687035403,0.69054721,0.699638355,0.654605645,0.64099838,0.612317049,0.602908469,0.570765525,0.501700535,0.49949435,0.608824336,0.566234669,0.556138876,0.601493111,0.581901862,0.580632091,0.593928559,0.63110945,0.62210553,0.647518643,0.661242036,0.6138717,0.660779931,0.66754178,0.625476977,0.632852499,0.608265303,0.610112896,0.581164464,0.564694067,0.554264942,0.612783937,0.628840498,0.653178701,0.657448686,0.65249209,0.616295485,0.617722724,0.624226229,0.627691311,0.654468611,0.681674043,0.672575394,0.655470759,0.670483578,0.704300116,0.676063998,0.7150973,0.777982694,0.769696983,0.802731828,0.85,0.844441131,0.821817764,0.833937966,0.85,0.85,0.841079553,0.85,0.840582689,0.842871919,0.85,0.822646643,0.793046897,0.755209359,0.77459826,0.743721442,0.740435561,0.717078376,0.684848256,0.660139973,0.63889725,0.603837887,0.642918825,0.652443009,0.638523511,0.674999301,0.659313923,0.674032318,0.620935226,0.611814013,0.622256895,0.553986457,0.591384952,0.490393867,0.548173452,0.478494563,0.47370214,0.412414235,0.374665294,0.369473196
arm_2,0.76987371,0.762322786,0.785336027,0.772467064,0.737811341,0.693626505,0.700340775,0.72975978,0.720740654,0.706812432,0.721135971,0.693443408,0.657368291,0.703651211,0.733950698,0.737006748,0.76471504,0.7530144,0.760426818,0.765426462,0.740233077,0.76753375,0.750354214,0.787210766,0.817268076,0.796523825,0.760221587,0.808114467,0.814725388,0.733983045,0.769739917,0.758121512,0.758561295,0.773368991,0.786034131,0.734471852,0.704752004,0.682730231,0.736477432,0.708045296,0.700417982,0.652454937,0.616411407,0.650852944,0.618494348,0.56655913,0.543622085,0.546170427,0.572307367,0.626220614,0.640321219,0.612557114,0.607944823,0.624163523,0.663927858,0.653183683,0.643258353,0.641321103,0.595607503,0.575633746,0.597998362,0.598839874,0.63267813,0.651408373,0.660183205,0.662410619,0.687260514,0.716887435,0.74521045,0.780538522,0.804449817,0.787393845,0.741922722,0.733011772,0.743881802,0.750495613,0.772359181,0.788796336,0.75249261,0.73070347,0.718012303,0.727367006,0.732732935,0.721760074,0.785028534,0.775167176,0.719756124,0.707304069,0.656140967,0.713227621,0.690347056,0.702565711,0.764357837,0.798631641,0.701520063,0.708171835,0.685803284,0.694581904,0.695961102,0.732371495,0.724334442,0.727787671,0.750100253,0.805134173,0.794938941,0.726843568,0.73961361,0.727167046,0.749769416,0.699924959,0.740646948,0.7853227,0.771417706,0.727579632,0.758400416,0.78807847,0.801712623,0.795030636,0.800842273,0.817082675,0.785993031,0.771653882,0.768256904,0.788765564,0.823712332,0.811681446,0.779605791,0.752592212,0.742217614,0.815418227,0.85,0.85,0.844268534,0.846127457,0.784358619,0.795673996,0.808605551,0.802702108,0.792841542,0.763196653,0.782875297,0.797320054,0.794351106,0.80930065,0.817280641,0.830291211,0.795519725,0.804121556,0.82155023,0.822539848,0.750307498,0.790934933,0.778130155,0.817304108,0.85,0.85,0.85,0.85,0.841749503,0.85,0.85,0.85,0.85,0.818204775,0.765016938,0.85,0.800833471,0.780334099,0.799967718,0.836208305,0.835330109,0.85,0.807132611,0.833912543,0.85,0.85,0.80800269,0.791471254,0.740982256,0.693961311,0.715778064,0.662542398,0.686228736,0.673845186,0.70089796,0.737836626,0.775229331,0.764489876,0.777098156,0.767101189,0.742822518,0.786775513,0.843091013,0.797955007,0.787743409,0.790408407,0.85,0.80191771,0.822561837,0.774956927
arm_3,0.545125268,0.572159576,0.505236747,0.467350132,0.487893179,0.464192335,0.455575221,0.418621951,0.390738535,0.391064619,0.385655814,0.362295255,0.378346341,0.402137097,0.40898201,0.404408111,0.399510696,0.39667336,0.374718411,0.376159292,0.401977849,0.424554185,0.419606128,0.436419674,0.455753238,0.49030177,0.487161153,0.498556021,0.518061155,0.521108685,0.54431215,0.552369007,0.589320686,0.548207252,0.519557456,0.519474985,0.568619459,0.568718578,0.558313045,0.612853071,0.601323482,0.602484988,0.57975006,0.472058247,0.44848865,0.451581844,0.469361465,0.464386755,0.465965577,0.413574578,0.417726269,0.433828964,0.433519886,0.47043633,0.503777427,0.500943853,0.448779878,0.436636999,0.39925803,0.389609572,0.362771039,0.339436603,0.340893363,0.302393778,0.313009531,0.311842931,0.343712588,0.363354243,0.409042548,0.415956293,0.447433869,0.467393611,0.438640109,0.471377457,0.461268782,0.486404323,0.53208025,0.492776329,0.417942272,0.403015152,0.423083451,0.430453182,0.39781776,0.410514305,0.400647668,0.38598345,0.376118504,0.346654675,0.411430732,0.433483753,0.48847693,0.4641743,0.416461948,0.408317749,0.346547635,0.356058287,0.362777403,0.416742697,0.44213339,0.431489546,0.420139266,0.441835782,0.460296606,0.539814776,0.555094787,0.548047895,0.558747952,0.57961511,0.552099057,0.546897729,0.567900255,0.562678167,0.566171132,0.591379869,0.612439964,0.587099461,0.617626733,0.612108507,0.595708341,0.541219509,0.522833864,0.494127097,0.512544296,0.566357111,0.563807911,0.598405905,0.584285387,0.572393033,0.539996005,0.513484956,0.560156012,0.529201844,0.554848779,0.541535647,0.569207581,0.560657553,0.634184903,0.624360917,0.589677704,0.612765135,0.574127184,0.551523558,0.559616581,0.576288916,0.559948783,0.605860809,0.599027836,0.580054932,0.591589447,0.604784421,0.617562639,0.615576023,0.62665735,0.616783774,0.643420795,0.626050129,0.618172716,0.643197641,0.67713957,0.649377747,0.640590072,0.658575214,0.664903027,0.653533993,0.624308185,0.64114547,0.617409868,0.583189222,0.502364357,0.523951952,0.529645826,0.521038988,0.494283428,0.526094955,0.486269632,0.45297106,0.451124277,0.462990026,0.451608674,0.440416386,0.434849725,0.484174699,0.51339218,0.487913966,0.490672073,0.471854106,0.465539723,0.471945182,0.533598657,0.532794559,0.476322663,0.486082398,0.488978044,0.50247206,0.500911161,0.496704128,0.528864074,0.537817998,0.560695556,0.556362502
arm_4,0.79742726,0.815639662,0.787204713,0.678003894,0.583618249,0.564793185,0.538944888,0.533921313,0.512296391,0.54136532,0.516098452,0.487294318,0.483204447,0.52909713,0.528975717,0.554895861,0.535741667,0.556291476,0.560123558,0.61747161,0.610004295,0.617404416,0.597134864,0.568178908,0.618347567,0.559104035,0.571478969,0.639339539,0.627526122,0.609334714,0.591195726,0.590198162,0.58425436,0.671491966,0.654866573,0.651148391,0.639796195,0.65573659,0.687565209,0.682698275,0.707598463,0.732001682,0.701083744,0.670923055,0.738757671,0.736352913,0.738184088,0.681968773,0.652993538,0.618046157,0.605562701,0.599039033,0.610822227,0.579059507,0.578282171,0.598580398,0.633344871,0.664449666,0.650442976,0.670458904,0.640537417,0.631572826,0.650621787,0.681484699,0.694108767,0.669448925,0.654252238,0.658189348,0.69735665,0.645937271,0.622715675,0.657419657,0.648790048,0.594228951,0.606273055,0.599668153,0.587035743,0.594099379,0.607520074,0.590464149,0.603866088,0.61685971,0.623191281,0.584585472,0.591929511,0.632276875,0.620856018,0.647696195,0.670792763,0.682403518,0.677542787,0.696826774,0.701596259,0.673274863,0.706001564,0.665115504,0.661406072,0.666574848,0.671790733,0.652550866,0.664080506,0.645083873,0.615730425,0.617893688,0.649717636,0.673911686,0.702509752,0.693914907,0.748615081,0.715791312,0.781866588,0.756977538,0.756499344,0.702828279,0.778286912,0.74625507,0.818581639,0.825564825,0.817823992,0.819330373,0.85,0.823195809,0.799879789,0.799630161,0.78876145,0.776028416,0.779187944,0.76739414,0.740714493,0.723314639,0.744129249,0.724351967,0.744164317,0.773153806,0.79442603,0.799766387,0.821500604,0.85,0.85,0.85,0.842734762,0.812205851,0.815907339,0.840190016,0.790987195,0.814704605,0.85,0.85,0.85,0.848384753,0.85,0.818646673,0.79002344,0.787947193,0.746561854,0.701363495,0.705796197,0.720273916,0.701497059,0.719598301,0.698198741,0.700623599,0.69746283,0.708666724,0.689006027,0.646733566,0.692706224,0.643738103,0.641989056,0.628336847,0.632364666,0.648281271,0.592874357,0.596884108,0.609130836,0.615459264,0.60718042,0.597875518,0.565946129,0.546549515,0.549228283,0.545255082,0.547645733,0.571420536,0.624325286,0.613509341,0.604738184,0.595227903,0.57468251,0.576826019,0.567436241,0.565976533,0.570006284,0.518010626,0.518644159,0.537852664,0.501509427,0.51662524,0.563063254,0.586528346
arm_5,0.829835154,0.85,0.85,0.814323786,0.773462601,0.740806216,0.686149325,0.695134591,0.677044949,0.644823878,0.670775762,0.707291186,0.727436503,0.782867757,0.76612682,0.76207812,0.783354415,0.726690817,0.673390947,0.689904961,0.747357902,0.698180603,0.712797001,0.75363377,0.713683691,0.723235577,0.673272992,0.669951451,0.665741394,0.662637282,0.68626071,0.709330277,0.745743608,0.650886017,0.63029267,0.60280348,0.643559219,0.693069552,0.747451556,0.755066244,0.765982804,0.740040491,0.746528499,0.698372399,0.696900373,0.682038568,0.729148632,0.713370667,0.767793223,0.748354016,0.773382534,0.729299769,0.708581257,0.694639111,0.717020435,0.700533897,0.705857571,0.717315723,0.713712463,0.702648764,0.718345231,0.709803462,0.667074365,0.668880114,0.629476547,0.602354642,0.636085823,0.639991913,0.640098871,0.594188966,0.59993258,0.579783973,0.561881654,0.610219728,0.592597679,0.578697672,0.579805344,0.527637928,0.549377054,0.542481081,0.489352827,0.478068181,0.509595506,0.508411885,0.523067814,0.531289874,0.496306291,0.47004841,0.468816288,0.526884349,0.547041537,0.577364689,0.531329888,0.571042424,0.56703192,0.529138166,0.468221524,0.457612375,0.460501078,0.46569256,0.484159115,0.470768976,0.473784578,0.492748028,0.53451022,0.513318331,0.550465781,0.592117607,0.555858344,0.553539485,0.647134246,0.704058468,0.65144882,0.67380732,0.648047784,0.663201115,0.660371126,0.653519727,0.626336798,0.636458918,0.666286355,0.650718079,0.612231101,0.579728713,0.542238684,0.540973824,0.562472216,0.529574441,0.561498165,0.606564643,0.659249681,0.662404324,0.635352166,0.610893756,0.670292671,0.653152119,0.64614756,0.628994987,0.59568281,0.591561146,0.608941185,0.585831491,0.582578624,0.556967126,0.561389583,0.593672041,0.618708342,0.631795861,0.646382085,0.665734026,0.65232915,0.660073828,0.68356804,0.698276218,0.740536984,0.785926404,0.774624357,0.784065968,0.781538631,0.795749529,0.836698698,0.833951111,0.822513218,0.85,0.843452166,0.85,0.842582421,0.85,0.85,0.85,0.85,0.787638847,0.77150167,0.774734625,0.786581431,0.761780537,0.746189576,0.746374003,0.752431591,0.730090715,0.719526542,0.686629004,0.752627901,0.712603798,0.729278249,0.747327872,0.694504316,0.681032958,0.704089764,0.685546136,0.66657807,0.66684367,0.660356973,0.715107286,0.655122369,0.60426803,0.586315593,0.584917973,0.579421439,0.559806943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.676722881477326,","0.703167498016132,","0.757849538462452,","0.72938735798565,","0.748497504727636,","0.784254836048071,","0.796811468509602,","0.806834761190607,","0.754532631877974,","0.738780358322779,","0.780487939065953,","0.717577702726106,","0.727863343013742,","0.752060781604736,","0.743484212631272,","0.74353143596338,","0.741978039440535,","0.7693182208112,","0.786400271242863,","0.78943874881778,","0.806644059292707,","0.792029773171198,","0.762471716315238,","0.763800954942459,","0.767233121429436,","0.778976153202232,","0.699813316706181,","0.740469484019,","0.735425868026944,","0.724659914579903,","0.728103779054669,","0.767805150883493,","0.73076517316264,","0.742782242223239,","0.727202494004782,","0.770291207396946,","0.720215063194634,","0.75523393840673,","0.744865831169302,","0.743570684041496,","0.741031858409406,","0.736490533135475,","0.813765047881372,","0.83478900471851,","0.815266403154334,","0.795630385929383,","0.805543290692802,","0.802272051305093,","0.801694819129261,","0.8372868426649,","0.821014414249982,","0.829556606793514,","0.830368813072971,","0.837870758533187,","0.842325502992706,","0.829325973593825,","0.764767064690314,","0.696214313454839,","0.70320503178044,","0.695405132575284,","0.692497152942131,","0.683420429059705,","0.695968219065476,","0.704452150382397,","0.659559898295394,","0.658798130201005,","0.730557119543646,","0.696890424432478,","0.698408076000595,","0.70649363960275,","0.711038416797099,","0.722429918509388,","0.71239174565069,","0.763484997687467,","0.755664448336488,","0.793458234493477,","0.783374926206772,","0.772168298297779,","0.818892136031042,","0.801036552222769,","0.773391125012841,","0.81116436345875,","0.85,","0.85,","0.85,","0.849523088785514,","0.848675403320266,","0.85,","0.85,","0.85,","0.842173180983845,","0.780527718384057,","0.814288221285344,","0.797949977190021,","0.842005664677873,","0.85,","0.837700285574314,","0.836076261435975,","0.85,","0.849203248057879,","0.85,","0.85,","0.811198067677327,","0.818190729515725,","0.807107650727673,","0.754889190690839,","0.780900119341734,","0.783030427383196,","0.723540935469885,","0.687035403255467,","0.69054721010889,","0.699638354808303,","0.654605644831537,","0.640998380360002,","0.612317048734641,","0.602908468602909,","0.570765525452985,","0.501700534655093,","0.499494350365209,","0.608824336221968,","0.566234669166555,","0.5561388761546,","0.601493111330668,","0.581901861787338,","0.580632090823417,","0.593928558769454,","0.631109450078278,","0.622105530325396,","0.647518643471419,","0.661242036247234,","0.613871700375137,","0.660779931389736,","0.667541779638714,","0.625476977112019,","0.632852498813871,","0.608265302958661,","0.610112895959781,","0.581164464285043,","0.564694066783085,","0.554264942263273,","0.612783937444272,","0.628840497920912,","0.653178701422264,","0.65744868556612,","0.652492090067192,","0.616295485432514,","0.617722723966307,","0.624226229246884,","0.627691310883258,","0.654468611121675,","0.681674042794944,","0.672575394380005,","0.655470758698041,","0.67048357834398,","0.704300116039406,","0.676063997786755,","0.715097299933151,","0.777982693731831,","0.769696982651413,","0.80273182755167,","0.85,","0.844441130695869,","0.821817764046412,","0.833937965706786,","0.85,","0.85,","0.841079553242148,","0.85,","0.840582689284263,","0.842871919490223,","0.85,","0.822646643064367,","0.793046897277446,","0.755209358950207,","0.774598259897251,","0.743721441925738,","0.74043556076911,","0.717078376300497,","0.684848256314277,","0.660139972638015,","0.638897249516601,","0.603837886832194,","0.64291882517859,","0.65244300922885,","0.638523510904611,","0.674999301051528,","0.659313922827722,","0.674032318417974,","0.620935226427201,","0.6118140129701,","0.622256894688805,","0.553986456648685,","0.591384951878263,","0.490393867129162,","0.548173452131685,","0.478494562560194,","0.473702139935849,","0.412414234985596,","0.374665294103848,","0.369473195548609,",
"0.769873709790409,","0.762322785678388,","0.785336026639593,","0.772467063966549,","0.737811341225021,","0.693626504607808,","0.700340774920169,","0.729759780228991,","0.720740654498702,","0.706812431639556,","0.721135971163122,","0.69344340796748,","0.657368291363919,","0.703651210735764,","0.733950697758155,","0.737006748130977,","0.764715040312363,","0.753014400074056,","0.760426817806555,","0.76542646178432,","0.740233076751929,","0.767533750172417,","0.750354214291191,","0.787210765612208,","0.81726807629651,","0.79652382545251,","0.760221587162648,","0.808114466973712,","0.814725388027922,","0.733983045458318,","0.769739917142846,","0.758121512448642,","0.758561295062257,","0.77336899140084,","0.786034130817192,","0.734471852375982,","0.7047520035936,","0.682730230780132,","0.736477431538259,","0.708045296268386,","0.700417982133817,","0.652454936578311,","0.61641140686629,","0.650852944462897,","0.618494348376973,","0.566559130408163,","0.543622084826195,","0.546170426574082,","0.572307366833948,","0.626220613619247,","0.640321218685334,","0.612557113650761,","0.607944823217673,","0.62416352323176,","0.663927857679064,","0.653183683136282,","0.643258352581041,","0.6413211029572,","0.595607503173332,","0.575633746000488,","0.597998361691648,","0.598839874129591,","0.6326781304025,","0.651408372635937,","0.660183204727975,","0.662410618896224,","0.687260513659517,","0.716887435035058,","0.745210449650195,","0.780538522021469,","0.804449817428269,","0.787393844878648,","0.741922722289889,","0.733011771679498,","0.743881801846258,","0.750495613309386,","0.772359180921762,","0.788796336255641,","0.752492610023542,","0.730703469612759,","0.718012303108567,","0.727367006022253,","0.73273293519488,","0.721760074254202,","0.785028533540478,","0.775167176017991,","0.719756123655236,","0.707304068925645,","0.65614096732942,","0.713227620730469,","0.690347055780315,","0.702565710906068,","0.764357836694902,","0.798631641156919,","0.701520062821392,","0.708171835454198,","0.685803283930324,","0.69458190449809,","0.695961101839157,","0.73237149450864,","0.724334441677921,","0.727787670846224,","0.750100252855289,","0.805134173215822,","0.794938941038041,","0.726843568365206,","0.73961361033365,","0.727167045957417,","0.749769416297602,","0.699924958605078,","0.74064694820531,","0.78532270021459,","0.771417706159191,","0.727579632115852,","0.758400416122876,","0.788078470304686,","0.801712623413049,","0.795030635989671,","0.800842272667719,","0.817082675280294,","0.785993031443651,","0.771653881598271,","0.768256904419692,","0.788765564469133,","0.823712331641926,","0.811681445888413,","0.77960579127543,","0.752592212286006,","0.742217613913879,","0.815418227343851,","0.85,","0.85,","0.844268533690732,","0.846127456706488,","0.784358619446062,","0.795673996423016,","0.808605551144508,","0.802702108446302,","0.792841542301899,","0.7631966530298,","0.782875296992175,","0.797320054241457,","0.794351105817968,","0.80930065018461,","0.817280640776104,","0.830291211342533,","0.795519724583637,","0.804121556050041,","0.82155022968473,","0.822539847894603,","0.750307497587104,","0.790934932807178,","0.778130154628206,","0.817304108265943,","0.85,","0.85,","0.85,","0.85,","0.841749503401373,","0.85,","0.85,","0.85,","0.85,","0.818204775391037,","0.765016938204322,","0.85,","0.800833470503391,","0.780334098576152,","0.799967718232825,","0.836208305160822,","0.835330109292334,","0.85,","0.80713261094086,","0.833912543479615,","0.85,","0.85,","0.808002689900434,","0.791471253886497,","0.740982255900637,","0.693961310639453,","0.715778063545116,","0.662542398000073,","0.686228736092891,","0.673845185684847,","0.700897959817784,","0.737836626037922,","0.775229331345748,","0.764489876438057,","0.777098155674358,","0.767101188655901,","0.742822517644793,","0.786775512569543,","0.843091012889211,","0.797955006793568,","0.78774340924729,","0.790408407044473,","0.85,","0.801917710117536,","0.822561837215818,","0.774956926557922,",
"0.545125268120319,","0.572159576238063,","0.505236747304315,","0.467350132248825,","0.487893179078663,","0.464192334727827,","0.455575221396802,","0.418621951083344,","0.390738535260791,","0.39106461889777,","0.385655813658806,","0.362295255073809,","0.378346341152376,","0.402137097482657,","0.408982010192214,","0.404408111478845,","0.399510696453726,","0.396673360074729,","0.374718410670372,","0.376159292435684,","0.401977848650209,","0.424554185227595,","0.419606128257394,","0.436419673960701,","0.455753237555584,","0.490301769986985,","0.487161152811503,","0.498556020891801,","0.518061154580386,","0.521108685474804,","0.544312149819371,","0.552369006613312,","0.589320686125478,","0.548207252060156,","0.51955745598215,","0.519474984992203,","0.568619458774357,","0.568718578477847,","0.558313044972637,","0.612853071412674,","0.601323482273448,","0.60248498811474,","0.579750059825628,","0.472058247321311,","0.448488650058239,","0.4515818441587,","0.469361464601302,","0.464386754986905,","0.465965576820942,","0.413574577736813,","0.417726269094797,","0.433828964323882,","0.43351988589874,","0.47043633038286,","0.503777427256891,","0.500943852662786,","0.448779878173377,","0.43663699894939,","0.399258029800833,","0.389609571900211,","0.362771038875658,","0.33943660250769,","0.340893363370352,","0.302393778180422,","0.313009531169528,","0.311842931224659,","0.343712588429861,","0.363354242786714,","0.409042548307894,","0.415956293378874,","0.44743386866955,","0.467393611313364,","0.438640109260686,","0.471377457338659,","0.461268781617857,","0.486404323014532,","0.532080249585725,","0.492776329491221,","0.417942272252335,","0.403015151654275,","0.423083450988275,","0.430453182413697,","0.397817760227001,","0.410514305306254,","0.400647668230203,","0.385983450222979,","0.376118503644825,","0.346654675423699,","0.411430732205732,","0.433483753202861,","0.488476930030815,","0.464174300408886,","0.416461947865722,","0.408317749342644,","0.346547635259161,","0.356058286773309,","0.362777402729664,","0.416742697265592,","0.442133389673027,","0.431489546333163,","0.420139266353395,","0.44183578154355,","0.46029660637961,","0.539814775965305,","0.555094787377812,","0.548047895343953,","0.558747951754165,","0.579615109873701,","0.552099056658092,","0.546897728868768,","0.567900255258028,","0.562678166608009,","0.566171131561486,","0.591379869028065,","0.61243996411599,","0.587099460867628,","0.617626732847082,","0.612108507093591,","0.595708340802248,","0.54121950908655,","0.522833864319306,","0.494127096927867,","0.512544295521783,","0.566357110915088,","0.563807911458916,","0.598405904872182,","0.584285386810538,","0.572393033236482,","0.539996005076807,","0.513484955503728,","0.560156011716888,","0.529201844333628,","0.554848778661655,","0.541535647384243,","0.569207580528722,","0.560657553058349,","0.634184902877021,","0.624360917378893,","0.589677704315187,","0.612765134689239,","0.574127183644154,","0.551523557926402,","0.559616580548246,","0.576288916353306,","0.559948782508193,","0.605860809440203,","0.599027835823569,","0.580054931986738,","0.591589447422285,","0.604784420808533,","0.617562638816513,","0.615576023008341,","0.626657350090542,","0.616783773843025,","0.643420795441835,","0.626050129408356,","0.618172716313432,","0.643197640598152,","0.677139569844246,","0.649377746580913,","0.640590072413952,","0.658575213737435,","0.664903027311916,","0.653533992814164,","0.624308185116924,","0.641145469963919,","0.617409867661833,","0.583189222260038,","0.502364356918713,","0.523951951810225,","0.529645825940468,","0.521038988048829,","0.494283428252745,","0.526094954775604,","0.486269631765096,","0.452971060306281,","0.451124277122841,","0.462990025853756,","0.451608673518719,","0.4404163862333,","0.434849725327777,","0.484174698795528,","0.513392180367279,","0.487913965839388,","0.490672072817997,","0.47185410625806,","0.465539722902979,","0.471945182060847,","0.533598657288709,","0.532794558543503,","0.476322662866442,","0.486082398494015,","0.488978044080512,","0.502472060103752,","0.500911161117393,","0.496704127937168,","0.528864073792672,","0.537817998103546,","0.560695555515453,","0.556362501959936,",
