,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200
arm_1,0.406507461,0.411789539,0.367233409,0.364328047,0.360288866,0.359501368,0.316553412,0.358579366,0.340382705,0.318076783,0.276185956,0.301416842,0.319376886,0.277157927,0.25644273,0.273497022,0.273891417,0.254951419,0.312032243,0.341374424,0.365880385,0.32098246,0.324401209,0.330027331,0.363102116,0.365062428,0.403647292,0.422348265,0.407037151,0.441838603,0.423695483,0.427676145,0.436220596,0.472729072,0.46160584,0.446745911,0.39652474,0.492932677,0.543674857,0.567751533,0.569277253,0.600185454,0.660513936,0.646183856,0.651911751,0.595625997,0.623355608,0.633977706,0.692738927,0.666519568,0.636090377,0.596989668,0.547895141,0.561423351,0.603315819,0.585162633,0.616155772,0.594263285,0.539446777,0.584084657,0.582442155,0.535646678,0.499343614,0.513597023,0.520996776,0.537451466,0.518354958,0.480093729,0.477447616,0.480866743,0.476451069,0.423086788,0.452155466,0.452312151,0.403028277,0.403755275,0.391906382,0.394602036,0.421344933,0.398473552,0.393183362,0.385550163,0.37871182,0.362109558,0.33241437,0.388841967,0.35758787,0.351060499,0.371101323,0.402537859,0.42022043,0.437751875,0.412571348,0.397054592,0.363902029,0.3820253,0.377365025,0.399755997,0.406192093,0.458603286,0.444071518,0.481434873,0.509727151,0.508356491,0.466483949,0.46930948,0.49298217,0.497073209,0.44286667,0.494435816,0.465853544,0.489218765,0.469371638,0.493775999,0.505916362,0.49953354,0.503766288,0.493686385,0.499058183,0.500706161,0.473651281,0.466574556,0.451877818,0.498212385,0.509649469,0.521417987,0.557670291,0.594421217,0.591366714,0.643939027,0.645411763,0.669234947,0.668155645,0.679222149,0.67530311,0.663369422,0.707915052,0.752988398,0.721441331,0.689242742,0.700428052,0.683359637,0.693613953,0.725565009,0.707360877,0.67912334,0.66750892,0.64577431,0.64043905,0.629210391,0.636640334,0.632137055,0.632946693,0.597888659,0.549858378,0.541029443,0.564818251,0.580597648,0.542018806,0.636381493,0.667829462,0.619842305,0.644665599,0.639967039,0.640651904,0.631066997,0.659126204,0.656946385,0.658939163,0.656535095,0.681706008,0.650785784,0.669565404,0.618375738,0.707867346,0.692876455,0.626947237,0.699867971,0.71624996,0.691129714,0.750630632,0.766083918,0.759632978,0.762473987,0.748945454,0.740414058,0.691502572,0.765931352,0.789957399,0.823527287,0.820908423,0.85,0.85,0.797593378,0.77691949,0.778537987,0.801977076,0.790983039,0.817817073,0.793591124
arm_2,0.720539982,0.73718203,0.796500731,0.780324869,0.787632353,0.800117673,0.85,0.849280896,0.85,0.839246927,0.822389236,0.828573248,0.82235842,0.818936173,0.821042218,0.800087752,0.766630815,0.73039305,0.763782389,0.78979008,0.813054939,0.843931014,0.790738341,0.810835527,0.808669507,0.830427921,0.787328189,0.770453322,0.773021627,0.834325892,0.812479504,0.810311969,0.85,0.82919245,0.825724923,0.787424718,0.81927899,0.842118934,0.85,0.800483615,0.837207284,0.85,0.83035376,0.812563914,0.830774734,0.790969417,0.745574666,0.737092023,0.723186204,0.676656864,0.681716985,0.711449283,0.762723313,0.727019697,0.703149726,0.647356734,0.612730794,0.562411439,0.600519237,0.554831296,0.575912357,0.589982998,0.562968013,0.558008251,0.608818195,0.550425291,0.564714004,0.533573682,0.542214024,0.447690929,0.456464404,0.469721136,0.496606972,0.502494266,0.524890989,0.569600365,0.553170875,0.555595749,0.50355421,0.508762878,0.480272577,0.477017831,0.465728242,0.462820285,0.49745675,0.484762036,0.451277967,0.426175662,0.444287767,0.434218358,0.400701969,0.434576734,0.47018096,0.444883506,0.384780577,0.393561731,0.384153232,0.401791447,0.419094045,0.434366881,0.395679743,0.419224843,0.404179937,0.483641717,0.486286245,0.529095045,0.54778282,0.570246182,0.601785809,0.578377979,0.580354838,0.601997787,0.608233884,0.579721295,0.581401865,0.604178185,0.632654075,0.642746142,0.625945086,0.604220137,0.631214214,0.638793565,0.610754369,0.630048039,0.614117814,0.587605512,0.549950216,0.572613491,0.619242967,0.613476617,0.600268058,0.633776769,0.670006972,0.702134218,0.707459215,0.712754528,0.728861003,0.681331006,0.682325958,0.658395231,0.664383612,0.640078154,0.64644902,0.61551643,0.647460994,0.65235102,0.665109621,0.682962412,0.681244715,0.658426508,0.678474405,0.624392237,0.664170148,0.697396745,0.747457054,0.770846144,0.727519748,0.80742171,0.834540233,0.84283747,0.803697811,0.828054281,0.85,0.85,0.85,0.85,0.85,0.815030972,0.770140585,0.768550239,0.750404977,0.718584338,0.694469596,0.730833825,0.737268832,0.798318046,0.790518378,0.768519623,0.787042541,0.789785832,0.761979978,0.78465925,0.776704772,0.755496186,0.749225551,0.785896308,0.846598399,0.85,0.83544801,0.85,0.85,0.85,0.85,0.85,0.85,0.832250378,0.85,0.85,0.85,0.814698582
arm_3,0.576851324,0.599936044,0.635615935,0.661922717,0.672817238,0.647600719,0.616831734,0.637221089,0.539940822,0.620636008,0.674465517,0.733273567,0.715348073,0.750211477,0.764149003,0.770832229,0.740813846,0.791809912,0.825543461,0.795124154,0.780813026,0.79661581,0.752435068,0.753862424,0.752507244,0.741156088,0.731912862,0.73130809,0.773177775,0.750678756,0.725546159,0.745623779,0.727605902,0.710545984,0.716211822,0.657235029,0.672005432,0.729238859,0.748562191,0.744620853,0.73458906,0.731582561,0.736618492,0.686269253,0.671147295,0.664287101,0.634927379,0.62261341,0.609480786,0.617931699,0.578696204,0.555480013,0.507465419,0.489355245,0.454036429,0.469708132,0.467822504,0.478284887,0.473855268,0.469053329,0.403812066,0.410273736,0.370145987,0.364761281,0.33116617,0.365414988,0.344718546,0.308266677,0.315695009,0.315981819,0.316365882,0.288146979,0.282508777,0.256654826,0.212972302,0.217397873,0.19672835,0.156702164,0.168591608,0.15,0.15,0.15,0.166664872,0.183541588,0.188968484,0.227656878,0.223524891,0.254426972,0.270275056,0.279760446,0.312054003,0.30413634,0.312668862,0.325489618,0.338563583,0.399363549,0.450089869,0.48657486,0.514174243,0.451320678,0.460981592,0.465207315,0.540696482,0.552654541,0.534407268,0.544515721,0.56345407,0.565181236,0.545814853,0.618717876,0.605958569,0.609982449,0.628585586,0.621872501,0.614515606,0.579566065,0.605760481,0.633605918,0.661749689,0.62570241,0.618086884,0.642456432,0.649049133,0.631355623,0.595814086,0.619370133,0.620836384,0.653751816,0.648562384,0.603488953,0.601893305,0.591447619,0.629025431,0.633142248,0.709764238,0.743524303,0.798481303,0.796456589,0.834617654,0.802568764,0.810848898,0.761677581,0.794124479,0.757341173,0.785177481,0.790705641,0.795264267,0.846943773,0.85,0.85,0.85,0.85,0.85,0.811904849,0.822860293,0.81704913,0.85,0.85,0.85,0.85,0.830734737,0.85,0.85,0.85,0.830370889,0.82425185,0.794877835,0.782320857,0.790842199,0.763773498,0.733070583,0.773981987,0.793725172,0.782033155,0.81498498,0.801211112,0.749259619,0.707109674,0.745762686,0.743878293,0.776951071,0.751446636,0.729722053,0.752856417,0.723783093,0.72265652,0.72089537,0.726922078,0.767147605,0.760949319,0.698198021,0.671149542,0.706671795,0.682905775,0.711994093,0.705826705,0.668459982,0.643624554,0.711692805,0.777621615
arm_4,0.233712394,0.263553243,0.220854074,0.23778058,0.211158705,0.207187222,0.212765962,0.226297975,0.210898321,0.20428747,0.15,0.15,0.174511106,0.169541839,0.190247309,0.199722032,0.200486182,0.203320207,0.191021621,0.174042862,0.17730942,0.175104676,0.15,0.209090176,0.227281798,0.199608333,0.191349093,0.199338637,0.15,0.190553212,0.15,0.181191144,0.191408406,0.169886118,0.165473143,0.195458341,0.205378528,0.161555752,0.159242752,0.153293258,0.15,0.175887884,0.157275285,0.188268182,0.223186397,0.240661893,0.210657357,0.231726878,0.180388906,0.204836981,0.20034225,0.240812808,0.201166423,0.167005572,0.164115584,0.222393044,0.221452145,0.217322226,0.242767957,0.197671661,0.196553013,0.167546064,0.243932022,0.225692836,0.269740183,0.250630314,0.2143652,0.256414312,0.236098278,0.302547502,0.304437621,0.316464136,0.313262834,0.31836247,0.37818888,0.354506806,0.350289364,0.336210661,0.344107297,0.364092139,0.361139841,0.374971866,0.403287161,0.391260692,0.39520948,0.395000803,0.393467684,0.396097639,0.326833838,0.29393208,0.300698787,0.252446691,0.199071239,0.15,0.15,0.15,0.15,0.15,0.2056567,0.242416882,0.244890309,0.243128385,0.2524644,0.234291821,0.232645061,0.260650199,0.243029745,0.270772234,0.289385165,0.337127891,0.295209129,0.301933758,0.296010942,0.228548959,0.246931762,0.238794631,0.273724595,0.338430394,0.351943385,0.37459641,0.390733872,0.400053105,0.365398668,0.352262783,0.310294102,0.309433918,0.358785823,0.25877655,0.260524308,0.281894912,0.321065723,0.278101085,0.268332864,0.251584359,0.301310974,0.31015605,0.272337998,0.253264529,0.258518648,0.312093711,0.324473446,0.346708255,0.3543706,0.363553907,0.34917177,0.297946324,0.274573232,0.271691632,0.270053904,0.262047516,0.226239884,0.204528872,0.21235354,0.228892773,0.228368716,0.20640384,0.188404722,0.201109924,0.1852049,0.161367235,0.15,0.150091948,0.168732323,0.152904037,0.180827054,0.175315519,0.15,0.17691917,0.15,0.15,0.15,0.15,0.214175746,0.20237924,0.221041671,0.235537461,0.260180343,0.253266073,0.25270173,0.259670359,0.288339215,0.26514863,0.284356653,0.272507365,0.281330774,0.259797998,0.259752066,0.240847739,0.243172356,0.219841825,0.227858027,0.227569523,0.242249225,0.274862691,0.249032027,0.18498338,0.150388781,0.169487393,0.15,0.15
arm_5,0.550412495,0.575343218,0.568442647,0.53303821,0.550475044,0.567098297,0.530938785,0.500567313,0.448344391,0.472027678,0.473979742,0.560779399,0.557563654,0.555217513,0.52539124,0.511643976,0.515519884,0.52210308,0.481017054,0.463532941,0.474368023,0.464500411,0.487760318,0.479917549,0.510391929,0.557318405,0.540335162,0.536372,0.490248791,0.535360756,0.541531007,0.49132155,0.501514612,0.518996937,0.527188224,0.487066457,0.452190635,0.472503836,0.477371587,0.469083472,0.478154538,0.467371787,0.486858691,0.489074731,0.506725671,0.473288136,0.460823455,0.447055091,0.471190969,0.522999882,0.497560591,0.517823333,0.503892894,0.52726961,0.530358877,0.535469464,0.562360015,0.548272538,0.536761867,0.549991513,0.545287794,0.52796749,0.476551139,0.479841125,0.443625877,0.518481333,0.481749149,0.462373754,0.486665971,0.455643837,0.469489852,0.516516165,0.519398625,0.495316644,0.537206946,0.530105917,0.559955535,0.594779554,0.630126681,0.594718356,0.590619431,0.596942386,0.595613886,0.585114195,0.648141854,0.692284127,0.704446036,0.724669108,0.720001847,0.734658784,0.756094598,0.769244242,0.819057187,0.846875091,0.85,0.85,0.829097907,0.776372554,0.777887047,0.788426403,0.80412205,0.826922342,0.794151427,0.839276277,0.85,0.842080163,0.85,0.801501871,0.809986953,0.825570713,0.787705502,0.785373301,0.79832028,0.830759335,0.85,0.85,0.841895028,0.822959322,0.85,0.85,0.834726189,0.822673152,0.79681765,0.85,0.841717055,0.792306189,0.832585147,0.813315394,0.824996968,0.85,0.85,0.839479371,0.849611984,0.85,0.85,0.85,0.827751756,0.79470006,0.793052156,0.814468668,0.841075905,0.817951917,0.848903013,0.85,0.829090709,0.827445525,0.840483204,0.835060245,0.85,0.830575952,0.773887083,0.765325949,0.728822129,0.723300169,0.700613642,0.695911754,0.759010539,0.779311154,0.751561704,0.755475572,0.735510341,0.72965898,0.669211791,0.657295785,0.64561103,0.646881413,0.631034065,0.634091329,0.661840851,0.641770984,0.68044224,0.72825103,0.678886675,0.645711408,0.689239321,0.732539607,0.751479843,0.752259223,0.779547773,0.766241791,0.812151837,0.809599454,0.814539831,0.820937063,0.788908256,0.82290567,0.809812316,0.792214728,0.81500096,0.814553699,0.808681239,0.822511966,0.792239945,0.777707183,0.818082158,0.828666075,0.82241691,0.836209501,0.843857379,0.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.406507461029105,","0.41178953875257,","0.367233408750959,","0.364328047402342,","0.360288866024515,","0.359501368301836,","0.316553412408368,","0.358579366230634,","0.340382705298176,","0.318076783405522,","0.276185955943674,","0.301416841668589,","0.319376885854591,","0.277157927311357,","0.25644272974515,","0.273497021897991,","0.273891417377866,","0.254951419024212,","0.312032243449137,","0.341374423977365,","0.36588038524639,","0.320982460294762,","0.3244012086387,","0.330027330974978,","0.363102116230606,","0.365062428421459,","0.403647291511982,","0.422348264546678,","0.407037151417796,","0.441838602913987,","0.423695482833348,","0.427676144538837,","0.436220596208102,","0.472729071601524,","0.461605840290083,","0.44674591056923,","0.396524739654348,","0.492932677493108,","0.543674857492792,","0.567751533436291,","0.569277253127857,","0.60018545403507,","0.66051393583603,","0.646183855971813,","0.651911751481515,","0.595625996627222,","0.623355607736248,","0.633977705884884,","0.692738927420309,","0.666519567598324,","0.636090376959181,","0.59698966831489,","0.547895140970891,","0.561423350519027,","0.603315818930352,","0.585162633178391,","0.616155772034918,","0.594263285416456,","0.539446776654796,","0.584084657495355,","0.58244215495671,","0.535646678052865,","0.499343613606921,","0.513597023085287,","0.520996776010321,","0.537451466235417,","0.518354958000222,","0.480093728890738,","0.477447616235067,","0.480866743225987,","0.476451069418964,","0.423086787745311,","0.452155465554348,","0.452312151303333,","0.403028277284323,","0.403755274604818,","0.391906382236723,","0.394602036242954,","0.421344932673305,","0.398473552437922,","0.393183361976428,","0.385550163265608,","0.378711819951745,","0.362109557684367,","0.332414370126807,","0.388841967054755,","0.357587869945888,","0.351060499319662,","0.371101322690838,","0.402537858580507,","0.420220430162236,","0.437751874693132,","0.41257134757919,","0.397054592341729,","0.363902029167731,","0.382025300118606,","0.37736502452679,","0.399755997402722,","0.406192092643272,","0.458603285756422,","0.444071517860087,","0.481434873188968,","0.509727151308893,","0.508356491412798,","0.466483949070757,","0.46930948043245,","0.492982169931648,","0.497073208993032,","0.442866670047789,","0.4944358161567,","0.465853543588096,","0.489218765074265,","0.469371638106916,","0.493775998810745,","0.505916362162558,","0.499533539816027,","0.503766287838516,","0.493686385060328,","0.499058182703932,","0.500706160958678,","0.473651281275186,","0.466574556483538,","0.451877817604812,","0.498212385043106,","0.50964946939467,","0.521417986504854,","0.557670291057267,","0.594421217378675,","0.591366714195272,","0.643939026662828,","0.645411763496546,","0.669234946728406,","0.668155645322688,","0.679222148919382,","0.675303109750123,","0.663369421591461,","0.707915052444966,","0.752988397695656,","0.72144133128363,","0.689242742341031,","0.700428052106774,","0.683359637154871,","0.693613952922805,","0.725565008665306,","0.707360877291412,","0.679123340442282,","0.667508920354042,","0.645774309731725,","0.640439050280203,","0.629210391002603,","0.636640334168033,","0.632137055094551,","0.632946693040142,","0.597888659338666,","0.549858377910715,","0.541029443067686,","0.564818250692739,","0.580597648199459,","0.542018806463276,","0.636381493480571,","0.667829461585432,","0.619842305364921,","0.644665599403819,","0.639967038694745,","0.640651903695774,","0.631066996782205,","0.659126204390818,","0.656946384577471,","0.658939162533564,","0.656535095232934,","0.681706007909945,","0.650785784135868,","0.669565404224547,","0.618375738083062,","0.707867345922813,","0.692876454564599,","0.626947236537549,","0.699867971274491,","0.716249959721723,","0.691129714440001,","0.750630632235623,","0.76608391792626,","0.759632978427153,","0.76247398695547,","0.748945454338526,","0.740414057980705,","0.691502572039459,","0.76593135166404,","0.789957399185881,","0.823527286938056,","0.820908423094124,","0.85,","0.85,","0.797593378250472,","0.776919490031438,","0.77853798703524,","0.801977075918764,","0.790983039238631,","0.81781707319611,","0.793591124207608,",
"0.720539982244372,","0.737182030067099,","0.796500731166472,","0.78032486873618,","0.787632352678371,","0.800117673381618,","0.85,","0.849280895531324,","0.85,","0.839246926957122,","0.822389236068851,","0.828573248346949,","0.82235841988738,","0.818936173108669,","0.821042218242468,","0.8000877519523,","0.766630815438285,","0.7303930496961,","0.763782389135076,","0.789790079665366,","0.813054939404157,","0.84393101386153,","0.790738341178822,","0.810835526904358,","0.808669506514659,","0.830427921003512,","0.787328188877734,","0.770453322443948,","0.773021626927195,","0.834325891971119,","0.812479504498076,","0.810311968657155,","0.85,","0.829192450219426,","0.825724923329547,","0.787424718045264,","0.819278989843086,","0.842118934182009,","0.85,","0.800483614562865,","0.837207284418721,","0.85,","0.830353760388475,","0.812563913739294,","0.830774734241974,","0.790969416557778,","0.745574665628875,","0.737092022742359,","0.723186203506429,","0.676656864169849,","0.681716984962597,","0.711449282901584,","0.762723313379157,","0.727019697326392,","0.703149725685788,","0.647356734319695,","0.612730794007235,","0.562411438872841,","0.600519237290063,","0.554831295852267,","0.575912357375637,","0.589982998347163,","0.562968012585165,","0.55800825075663,","0.608818194619198,","0.550425291173322,","0.56471400395842,","0.533573681979252,","0.54221402437539,","0.447690929278108,","0.456464403615915,","0.469721135618559,","0.49660697215337,","0.502494266471812,","0.524890988654249,","0.569600364525682,","0.553170875384356,","0.555595748517934,","0.50355420976843,","0.508762877670162,","0.480272576619021,","0.47701783111173,","0.465728242166066,","0.462820284881131,","0.497456749830683,","0.484762035551395,","0.451277966650153,","0.426175661963374,","0.444287767269959,","0.434218358141455,","0.400701969064703,","0.434576733806868,","0.470180959512875,","0.444883505721711,","0.384780577016768,","0.393561730549369,","0.384153231638037,","0.401791446633242,","0.419094044955707,","0.434366881048392,","0.395679742750493,","0.419224843202842,","0.404179937066561,","0.483641716702632,","0.486286244843035,","0.529095045252872,","0.547782820261564,","0.570246182400872,","0.601785808795084,","0.578377978623949,","0.58035483820051,","0.601997786650701,","0.608233884180686,","0.579721294977319,","0.581401865482034,","0.604178185414452,","0.632654075214619,","0.642746141530857,","0.625945085586493,","0.604220137398915,","0.631214213968054,","0.638793565175117,","0.610754368945342,","0.630048039438654,","0.614117814375633,","0.587605511775046,","0.549950216138285,","0.572613491043225,","0.619242967228042,","0.613476616839419,","0.600268058091882,","0.633776769236085,","0.670006971978126,","0.702134217831455,","0.707459214890044,","0.712754528109879,","0.728861003328021,","0.681331006089239,","0.682325958049276,","0.658395230607713,","0.66438361192159,","0.640078154211323,","0.646449019706263,","0.61551643016128,","0.647460994303086,","0.652351019857507,","0.665109621276411,","0.682962412138292,","0.681244715478074,","0.658426508222044,","0.678474404730864,","0.624392236933364,","0.664170148404267,","0.69739674498413,","0.747457054159474,","0.770846144321704,","0.72751974762663,","0.807421710200817,","0.834540232514158,","0.842837470110131,","0.803697810551822,","0.828054281494791,","0.85,","0.85,","0.85,","0.85,","0.85,","0.815030971827851,","0.770140584746368,","0.768550239079049,","0.750404976781147,","0.71858433773308,","0.694469595676958,","0.730833825029908,","0.737268832242387,","0.798318046183707,","0.790518378478145,","0.768519622792529,","0.787042541003942,","0.78978583180396,","0.76197997791741,","0.784659249869653,","0.776704771713908,","0.75549618579543,","0.749225550929678,","0.785896308128804,","0.846598399208725,","0.85,","0.835448009760409,","0.85,","0.85,","0.85,","0.85,","0.85,","0.85,","0.83225037817752,","0.85,","0.85,","0.85,","0.81469858173053,",
"0.576851323992014,","0.599936044086846,","0.635615934637238,","0.661922717157868,","0.672817237609587,","0.647600719490485,","0.616831734252712,","0.637221088880313,","0.539940821588639,","0.620636008019719,","0.674465517173692,","0.73327356711186,","0.715348073066321,","0.750211476604643,","0.764149002617676,","0.770832229129188,","0.740813845637912,","0.791809911738386,","0.825543461167899,","0.795124154334121,","0.780813025915748,","0.796615809560114,","0.752435068180344,","0.753862423574943,","0.75250724416214,","0.741156088497305,","0.73191286170991,","0.731308089758876,","0.773177775121586,","0.750678756131058,","0.725546158774749,","0.745623778748608,","0.72760590246168,","0.710545984154695,","0.716211821716529,","0.657235029065234,","0.672005432447435,","0.729238858733459,","0.748562191279621,","0.744620852631256,","0.734589060395644,","0.731582560866544,","0.736618491834631,","0.686269252568739,","0.67114729505769,","0.664287100527422,","0.634927378512924,","0.622613410407224,","0.609480785614907,","0.617931699001627,","0.578696203814236,","0.555480013204947,","0.507465419379297,","0.489355245091167,","0.454036429445675,","0.469708132094717,","0.467822504078123,","0.478284886609088,","0.473855268410018,","0.469053329012004,","0.403812066079117,","0.410273736232797,","0.370145987326825,","0.364761281314978,","0.331166169776086,","0.365414988142994,","0.344718545894854,","0.308266676952844,","0.315695008509969,","0.315981819222039,","0.316365882014807,","0.288146979356611,","0.282508776549071,","0.256654826311541,","0.212972302174134,","0.217397872622251,","0.196728349855206,","0.156702163807517,","0.16859160840762,","0.15,","0.15,","0.15,","0.166664872333978,","0.183541587563594,","0.188968483863411,","0.22765687837533,","0.223524891400925,","0.254426972465915,","0.270275055672011,","0.279760445771412,","0.312054003474545,","0.304136339865429,","0.312668862277907,","0.325489617635347,","0.338563583045323,","0.399363548825623,","0.45008986930503,","0.486574859597207,","0.514174242695858,","0.451320678087578,","0.460981591646362,","0.465207315209623,","0.540696481837197,","0.552654540944238,","0.534407268051403,","0.544515721081952,","0.563454069788941,","0.5651812361527,","0.545814853080376,","0.618717876288648,","0.605958569265901,","0.609982449484194,","0.628585585604955,","0.621872501336063,","0.614515605641096,","0.579566064937345,","0.605760481216308,","0.633605917510888,","0.661749689020598,","0.625702409543463,","0.618086883944913,","0.642456432283755,","0.649049133237292,","0.631355622887649,","0.595814086324623,","0.619370133251772,","0.620836384444975,","0.653751816160145,","0.648562384308286,","0.603488953480728,","0.601893304769181,","0.591447618801249,","0.629025431443521,","0.633142247832013,","0.709764237739704,","0.743524302761015,","0.798481302615022,","0.796456588890847,","0.834617653946793,","0.802568763681312,","0.810848897634595,","0.761677581137102,","0.794124478838795,","0.757341173071606,","0.785177481175764,","0.7907056408274,","0.795264267029804,","0.846943772895393,","0.85,","0.85,","0.85,","0.85,","0.85,","0.811904848560501,","0.822860292963301,","0.817049129828181,","0.85,","0.85,","0.85,","0.85,","0.830734736766629,","0.85,","0.85,","0.85,","0.830370889475603,","0.824251849822463,","0.794877834649781,","0.782320857202253,","0.790842198575246,","0.763773497875214,","0.733070583489553,","0.773981986685876,","0.793725172384003,","0.782033155023294,","0.814984979728617,","0.801211112370693,","0.749259619363045,","0.707109673885948,","0.745762685631713,","0.743878293251089,","0.776951071430283,","0.751446636332678,","0.729722053363662,","0.75285641666224,","0.723783092507583,","0.722656520381575,","0.720895370358927,","0.726922077559287,","0.767147604773051,","0.760949318617391,","0.698198020941025,","0.671149542254224,","0.706671794711054,","0.682905774681883,","0.711994092596009,","0.705826705199567,","0.668459981605718,","0.643624554419746,","0.711692804968054,","0.777621615345345,",
